variant_tag,block,architecture,controller,split,scenario_id,family,mission_success,safety_success,position_rmse_m,saturation_percentage,degradation_percentage,force_norm_clip_percentage,force_tilt_clip_percentage,result_dir
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,waypoint_g03_P0_nominal_s1168_outer_expert,waypoint,True,True,0.05959676213685468,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g03_P0_nominal_s1168_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,waypoint_g03_P5_combined_s1173_outer_expert,waypoint,True,True,0.10864798204736167,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g03_P5_combined_s1173_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,test,waypoint_g04_P0_nominal_s1174_outer_expert,waypoint,True,True,0.07158087548194814,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\waypoint_g04_P0_nominal_s1174_outer_expert_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,ood,lemniscate_3d_heavy_wind,lemniscate,True,True,0.16841310654715724,0.0,1.9943019943019942,0.0,0.0,data/neural_ood/battery_v1\results\lemniscate_3d_heavy_wind_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,ood,lemniscate_fast_center_yaw,lemniscate,True,True,1.3372364190845083,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\lemniscate_fast_center_yaw_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,ood,lemniscate_combined_extreme,lemniscate,True,True,0.18095013336542332,0.0,17.94871794871795,0.0,0.0,data/neural_ood/battery_v1\results\lemniscate_combined_extreme_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,ood,lissajous_3d_speedy,lissajous,True,True,3.4049402424987703,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\lissajous_3d_speedy_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,ood,lissajous_extreme_noise,lissajous,True,True,0.14190795616811097,0.0,2.564102564102564,0.0,0.0,data/neural_ood/battery_v1\results\lissajous_extreme_noise_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,ood,composite_circle_to_lemniscate,composite,True,True,0.7152668014559393,0.0,5.523255813953488,0.0,0.0,data/neural_ood/battery_v1\results\composite_circle_to_lemniscate_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,ood,composite_aggressive_transitions,composite,True,True,0.21085192084494525,0.0,3.125,0.0,0.0,data/neural_ood/battery_v1\results\composite_aggressive_transitions_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,ood,helix_ascending_fast,waypoint,False,True,0.08542762714564686,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\helix_ascending_fast_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,ood,helix_descending_noise_wind,waypoint,False,True,0.11278786633673624,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\helix_descending_noise_wind_neural_lstm
v1_baseline,baseline,lstm,neural_outer_force_lstm,ood,helix_tight_aggressive,waypoint,False,True,0.30254702678866563,0.0,0.0,0.0,0.0,data/neural_ood/battery_v1\results\helix_tight_aggressive_neural_lstm
h128,h128,mlp,neural_outer_force_mlp,test,hold_g03_P0_nominal_s1048_outer_expert,hold,True,True,0.0010502663735019208,0.0,0.0,0.0,0.0,data/outer_force_dataset/v1\results\hold_g03_P0_nominal_s1048_outer_expert_neural_mlp_h128
